,OsloO,OsloS,OsloN,OsloV,Aas,Moss,Fredrikstad,Sarpsborg,Drammen,Lillestrom,Jessheim,Honefoss,Nesbyen,Gol,Geilo,Kongsberg,Porsgrunn,Seljord,Horten,Sandefjord,Rauland,Risor,Arendal,Grimstad,KristiansandS,KristiansandN,Mandal,Lyngdal,Vestbygd,Flekkefjord,Tonstad,Evje,Rysstad,Hovden,Aamli,Egersund,Heskestad,Byrkjedal,Bryne,Erfjord,StavangerS,StavangerO,StavangerV,Aardal,Sauda,Vikedal,Aksdal,Haugesund,Ferkingstad,Bomlo,Skaanevik,Roldal,Odda,Rosendal,Mundheim,Osoyro,Fusa,Austevoll,Eikelandsosen,Norheimsund,Kinsarvik,Eidfjord,Vossevangen,BergenS,Loddefjord,BergenN,Nyborg,Aagotnes,Flaam,Sogndal,Forde,Nordfjordeid,Maaloy,Kongsvinger,Flisa,Hamar,Gjovik,Lillehammer,Trysil,Koppang,Vinstra,Beitostolen,Lom,Dokka,Hodalen,Alvdal,Dombaas,Vestre Gausdal,Fagernes,Geiranger,Volda,Ulsteinvik,Aalesund,Aandalsnes,Molde,Tingvoll,Sunndalsora,Kristiansund,Rindal,Orkanger,Hestvika,Kvenvaer,Sistranda,Titran,Oppdal,Berkaak,Rennebu,Storen,Melhus,TrondheimV,TrondheimS,TrondheimN,TrondheimO,Roros,Haltdalen,Selbu,Hommelvik,Stjordal,Meraaker,Frosta,Vanvikan,Brekstad,Levanger,Mosvik,Steinkjer,Aafjord,Steinsdalen,Flatanger,Namsos,Namsskogan,Foldereid,Rorvik,Bronnoysund,Hattfjelldal,Mosjoen,Sandnessjoen,Mo i Rana,Jektvik,Glomfjord,Krokstranda,Storjord,Fauske,Bodo,Morsvikbotn,Leinesfjorden,Hamsund,Ballangen,Narvik,Sortland,Andenes,Nordland,Leknes,Sorvaagen,Harstad,Bardufoss,Gryllefjord,Elverhoy,Tromso,Skulsfjord,Hansnes,Finnsnes,Olderdalen,Skjervoy,Alta,Kautokeino,Karasjok,Lakselv,Olderfjord,Honningsvaag,Hammerfest,Veidnes,Mehamn,Borselv,Tana bru,Tana,Vadso,Kirkenes,Vardo,Baatsfjord
OsloO,0,12.373,10.719,15.493,38.975,65.905,97.848,96.83,55.409,15.963,36.495,67.976,159.218,177.944,229.392,96.46,155.231,175.603,81.073,121.009,219.089,231.351,256.513,273.726,319.649,317.367,369.432,401.822,434.92,432.463,426.589,325.518,301.389,290.471,263.859,481.554,462.471,496.606,520.596,407.735,506.998,501.972,503.536,448.782,361.959,413.028,442.937,455.446,479.745,480.232,395.904,318.046,359.084,404.708,415.529,454.981,443.047,499.13,432.69,416.318,399.873,428.641,388.042,473.718,489.855,483.736,474.819,507.094,322.867,322.955,427.382,445.804,498.416,86.789,139.09,118.935,117.499,163.63,204.126,221.35,243.466,230.553,329.399,135.681,353.485,296.671,314.01,186.144,192.137,425.605,505.996,538.555,525.499,419.644,476.681,495.61,448.71,544.412,468.222,474.733,545.498,587.882,576.816,604.324,380.122,403.653,404.459,436.166,467.138,488.314,483.025,486.025,490.498,375.476,423.886,516.542,506.295,517.842,564.484,554.17,508.996,534.319,564.709,575.548,603.748,565.855,636.017,674.194,661.472,755.526,758.879,747.984,855.54,855.576,872.059,935.12,958.027,1080.312,1149.603,1019.277,1102.211,1133.947,1186.767,1208.782,1292.702,1297.722,1338.13,1384.838,1377.199,1472.77,1369.206,1345.366,1287.718,1395.545,1486.776,1511.609,1617.876,1622.015,1642.156,1679.914,1529.379,1649.883,1717.939,1768.776,1638.157,1766.422,1839.783,1876.924,1977.129,1908.927,1955.135,2045.979,1881.544,1858.728,1889.158,1918.743,1863.276,1994.037,1965.196
OsloS,12.701,0,12.737,12.516,28.134,55.064,87.007,85.989,52.432,23.831,44.363,64.999,156.241,174.967,226.415,93.483,144.39,172.626,70.232,110.168,216.112,220.51,245.672,262.885,308.808,306.526,358.591,390.981,424.079,421.622,415.748,314.677,296.164,287.494,253.018,470.713,451.63,485.765,509.755,404.758,504.021,498.995,500.559,445.805,358.982,410.051,439.96,452.469,476.768,477.255,392.927,315.069,356.107,401.731,412.552,452.004,440.07,496.153,429.713,413.341,396.896,425.664,385.065,470.741,486.878,480.759,471.842,504.117,319.89,319.978,424.405,442.827,495.439,94.657,146.958,126.803,128.434,174.565,211.994,229.218,254.401,230.165,340.334,146.616,361.353,304.539,324.945,197.079,191.749,436.54,513.323,545.882,536.434,430.579,487.616,506.545,459.645,555.347,476.09,482.601,553.366,595.75,584.684,612.192,391.057,411.521,412.327,444.034,475.006,496.182,490.893,493.893,498.366,383.344,431.754,524.41,514.163,525.71,572.352,562.038,516.864,542.187,572.577,583.416,611.616,573.723,643.885,682.062,669.34,763.394,766.747,755.852,863.408,863.444,879.927,942.988,965.895,1088.18,1157.471,1027.145,1110.079,1141.815,1194.635,1216.65,1300.57,1305.59,1345.998,1392.706,1385.067,1480.638,1377.074,1353.234,1295.586,1403.413,1494.644,1519.477,1625.744,1629.883,1650.024,1687.782,1537.247,1657.751,1725.807,1776.644,1646.025,1774.29,1847.651,1884.792,1984.997,1916.795,1963.003,2053.847,1889.412,1866.596,1897.026,1926.611,1871.144,2001.905,1973.064
OsloN,11.278,12.388,0,9.627,38.99,65.92,97.863,96.845,49.441,22.848,43.38,62.008,153.25,171.976,223.424,90.492,155.246,169.635,81.088,121.024,213.121,231.366,256.528,273.741,319.664,317.382,369.447,401.837,434.935,432.478,426.604,325.533,295.421,284.503,263.874,481.569,462.486,496.621,520.611,401.767,501.03,496.004,497.568,442.814,358.239,409.308,436.969,449.478,473.777,474.264,389.936,312.078,353.116,398.74,409.561,449.013,437.079,493.162,426.722,410.35,393.905,422.673,382.074,467.75,483.887,477.768,468.851,501.126,316.899,316.987,421.414,439.836,492.448,93.674,145.975,125.82,122.838,168.969,211.011,228.235,248.805,227.174,334.738,141.02,360.37,303.556,319.349,191.483,188.758,430.944,510.332,542.891,530.838,424.983,482.02,500.949,454.049,549.751,475.107,481.618,552.383,594.767,583.701,611.209,385.461,410.538,411.344,443.051,474.023,495.199,489.91,492.91,497.383,382.361,430.771,523.427,513.18,524.727,571.369,561.055,515.881,541.204,571.594,582.433,610.633,572.74,642.902,681.079,668.357,762.411,765.764,754.869,862.425,862.461,878.944,942.005,964.912,1087.197,1156.488,1026.162,1109.096,1140.832,1193.652,1215.667,1299.587,1304.607,1345.015,1391.723,1384.084,1479.655,1376.091,1352.251,1294.603,1402.43,1493.661,1518.494,1624.761,1628.9,1649.041,1686.799,1536.264,1656.768,1724.824,1775.661,1645.042,1773.307,1846.668,1883.809,1984.014,1915.812,1962.02,2052.864,1888.429,1865.613,1896.043,1925.628,1870.161,2000.922,1972.081
OsloV,15.965,12.221,11.163,0,38.823,65.753,97.696,96.678,40.532,27.095,47.627,53.099,144.341,163.067,214.515,81.583,155.079,160.726,80.921,120.857,204.212,231.199,256.361,273.574,319.497,317.215,369.28,401.67,434.768,432.311,426.437,325.366,286.512,275.594,263.707,481.402,462.319,496.454,515.997,392.858,492.121,487.095,488.659,433.905,349.33,400.399,428.06,440.569,464.868,465.355,381.027,303.169,344.207,389.831,400.652,440.104,428.17,484.253,417.813,401.441,384.996,413.764,373.165,458.841,474.978,468.859,459.942,492.217,307.99,308.078,412.505,430.927,483.539,97.921,150.222,130.067,132.579,178.71,215.258,232.482,258.546,218.265,344.479,148.31,364.617,307.803,329.09,201.224,179.849,440.685,501.423,533.982,540.579,434.724,491.761,510.69,463.79,559.492,479.354,485.865,556.63,599.014,587.948,615.456,395.202,414.785,415.591,447.298,478.27,499.446,494.157,497.157,501.63,386.608,435.018,527.674,517.427,528.974,575.616,565.302,520.128,545.451,575.841,586.68,614.88,576.987,647.149,685.326,672.604,766.658,770.011,759.116,866.672,866.708,883.191,946.252,969.159,1091.444,1160.735,1030.409,1113.343,1145.079,1197.899,1219.914,1303.834,1308.854,1349.262,1395.97,1388.331,1483.902,1380.338,1356.498,1298.85,1406.677,1497.908,1522.741,1629.008,1633.147,1653.288,1691.046,1540.511,1661.015,1729.071,1779.908,1649.289,1777.554,1850.915,1888.056,1988.261,1920.059,1966.267,2057.111,1892.676,1869.86,1900.29,1929.875,1874.408,2005.169,1976.328
Aas,41.183,30.815,41.219,40.998,0,30.4,62.343,61.325,53.125,52.313,72.845,93.481,184.723,203.449,252.648,94.176,119.726,173.319,45.568,85.504,216.805,195.846,221.008,238.221,284.144,281.862,333.927,366.317,399.415,396.958,391.084,290.013,299.105,288.187,228.354,446.049,426.966,461.101,485.091,405.451,497.741,499.688,500.221,446.498,361.923,412.992,440.653,453.162,477.461,477.948,393.62,315.762,356.8,402.424,413.245,452.697,440.763,496.846,430.406,414.034,397.589,426.357,413.547,471.434,487.571,481.452,478.56,504.81,348.372,348.46,452.887,471.309,523.921,123.139,175.44,155.285,156.916,203.047,240.476,257.7,282.883,258.647,368.816,175.098,389.835,333.021,353.427,225.561,220.231,465.022,541.805,574.364,564.916,459.061,516.098,535.027,488.127,583.829,504.572,511.083,581.848,624.232,613.166,640.674,419.539,440.003,440.809,472.516,503.488,524.664,519.375,522.375,526.848,411.826,460.236,552.892,542.645,554.192,600.834,590.52,545.346,570.669,601.059,611.898,640.098,602.205,672.367,710.544,697.822,791.876,795.229,784.334,891.89,891.926,908.409,971.47,994.377,1116.662,1185.953,1055.627,1138.561,1170.297,1223.117,1245.132,1329.052,1334.072,1374.48,1421.188,1413.549,1509.12,1405.556,1381.716,1324.068,1431.895,1523.126,1547.959,1654.226,1658.365,1678.506,1716.264,1565.729,1686.233,1754.289,1807.154,1676.535,1804.8,1878.161,1915.302,2015.507,1947.305,1993.513,2082.329,1919.922,1895.078,1925.508,1957.121,1899.626,2032.415,2002.691
Moss,66.408,56.04,66.444,66.223,30.848,0,37.554,36.536,73.464,77.538,98.07,118.706,209.948,228.674,251.44,91.753,89.326,176.254,15.168,55.104,219.74,165.446,190.608,207.821,253.744,251.462,303.527,335.917,369.015,366.558,360.684,259.613,302.04,291.122,197.954,415.649,396.566,430.701,454.691,408.386,467.341,470.876,469.821,449.433,364.858,415.927,443.588,456.097,480.396,480.883,396.555,318.697,359.735,405.359,416.18,455.632,443.698,499.781,433.341,416.969,400.524,429.292,432.122,475.309,491.446,485.327,481.495,508.685,366.947,373.685,478.112,496.534,549.146,148.364,200.665,180.51,182.141,228.272,265.701,282.925,308.108,283.872,394.041,200.323,415.06,358.246,378.652,250.786,245.456,490.247,567.03,599.589,590.141,484.286,541.323,560.252,513.352,609.054,529.797,536.308,607.073,649.457,638.391,665.899,444.764,465.228,466.034,497.741,528.713,549.889,544.6,547.6,552.073,437.051,485.461,578.117,567.87,579.417,626.059,615.745,570.571,595.894,626.284,637.123,665.323,627.43,697.592,735.769,723.047,817.101,820.454,809.559,917.115,917.151,933.634,996.695,1019.602,1141.887,1211.178,1080.852,1163.786,1195.522,1248.342,1270.357,1354.277,1359.297,1399.705,1446.413,1438.774,1534.345,1430.781,1406.941,1349.293,1457.12,1548.351,1573.184,1679.451,1683.59,1703.731,1741.489,1590.954,1711.458,1779.514,1832.379,1701.76,1830.025,1903.386,1940.527,2040.732,1972.53,2018.738,2107.554,1945.147,1920.303,1950.733,1982.346,1924.851,2057.64,2027.916
Fredrikstad,97.875,87.507,97.911,97.69,62.315,37.694,0,15.134,109.817,109.005,129.537,150.173,241.415,260.141,288.291,128.604,126.177,213.105,52.019,91.955,256.591,202.297,227.459,244.672,290.595,288.313,340.378,372.768,405.866,403.409,397.535,296.464,338.891,327.973,234.805,452.5,433.417,467.552,491.542,445.237,504.192,507.727,506.672,486.284,401.709,452.778,480.439,492.948,517.247,517.734,433.406,355.548,396.586,442.21,453.031,492.483,480.549,536.632,470.192,453.82,437.375,466.143,468.973,512.16,528.297,522.178,518.346,545.536,403.798,405.152,509.579,528.001,580.613,179.831,232.132,211.977,213.608,259.739,297.168,314.392,339.575,315.339,425.508,231.79,446.527,389.713,410.119,282.253,276.923,521.714,598.497,631.056,621.608,515.753,572.79,591.719,544.819,640.521,561.264,567.775,638.54,680.924,669.858,697.366,476.231,496.695,497.501,529.208,560.18,581.356,576.067,579.067,583.54,468.518,516.928,609.584,599.337,610.884,657.526,647.212,602.038,627.361,657.751,668.59,696.79,658.897,729.059,767.236,754.514,848.568,851.921,841.026,948.582,948.618,965.101,1028.162,1051.069,1173.354,1242.645,1112.319,1195.253,1226.989,1279.809,1301.824,1385.744,1390.764,1431.172,1477.88,1470.241,1565.812,1462.248,1438.408,1380.76,1488.587,1579.818,1604.651,1710.918,1715.057,1735.198,1772.956,1622.421,1742.925,1810.981,1863.846,1733.227,1861.492,1934.853,1971.994,2072.199,2003.997,2050.205,2141.049,1976.614,1953.798,1984.228,2013.813,1956.318,2089.107,2060.266
Sarpsborg,96.658,86.29,96.694,96.473,61.098,33.345,15.106,0,106.809,107.788,128.32,148.956,240.198,258.924,284.785,125.098,122.671,209.599,48.513,88.449,253.085,198.791,223.953,241.166,287.089,284.807,336.872,369.262,402.36,399.903,394.029,292.958,335.385,324.467,231.299,448.994,429.911,464.046,488.036,441.731,500.686,504.221,503.166,482.778,398.203,449.272,476.933,489.442,513.741,514.228,429.9,352.042,393.08,438.704,449.525,488.977,477.043,533.126,466.686,450.314,433.869,462.637,465.467,508.654,524.791,518.672,514.84,542.03,400.292,403.935,508.362,526.784,579.396,178.614,230.915,210.76,212.391,258.522,295.951,313.175,338.358,314.122,424.291,230.573,445.31,388.496,408.902,281.036,275.706,520.497,597.28,629.839,620.391,514.536,571.573,590.502,543.602,639.304,560.047,566.558,637.323,679.707,668.641,696.149,475.014,495.478,496.284,527.991,558.963,580.139,574.85,577.85,582.323,467.301,515.711,608.367,598.12,609.667,656.309,645.995,600.821,626.144,656.534,667.373,695.573,657.68,727.842,766.019,753.297,847.351,850.704,839.809,947.365,947.401,963.884,1026.945,1049.852,1172.137,1241.428,1111.102,1194.036,1225.772,1278.592,1300.607,1384.527,1389.547,1429.955,1476.663,1469.024,1564.595,1461.031,1437.191,1379.543,1487.37,1578.601,1603.434,1709.701,1713.84,1733.981,1771.739,1621.204,1741.708,1809.764,1862.629,1732.01,1860.275,1933.636,1970.777,2070.982,2002.78,2048.988,2139.832,1975.397,1952.581,1983.011,2012.596,1957.129,2087.89,2059.049
Drammen,55.561,51.817,50.889,40.38,53.051,73.628,109.49,108.472,0,66.691,87.223,62.787,147.596,166.322,199.523,41.051,118.496,120.194,58.474,84.274,163.68,194.616,219.778,236.991,282.914,280.632,332.697,365.087,398.185,391.868,385.994,284.923,245.98,235.062,223.397,440.959,421.876,456.011,475.465,352.326,451.589,446.563,448.127,393.373,308.798,359.867,387.528,400.037,424.336,424.823,340.495,262.637,303.675,349.299,360.12,399.572,387.638,443.721,377.281,360.909,344.464,373.232,376.42,418.309,434.446,428.327,425.435,451.685,311.245,311.333,415.76,434.182,486.794,137.517,189.818,169.663,151.878,198.009,254.854,272.078,277.845,227.953,363.778,156.782,404.213,347.399,348.389,220.523,189.537,459.984,504.678,537.237,559.878,454.023,511.06,529.989,483.089,578.791,514.473,520.984,591.749,631.683,620.617,648.125,414.501,449.904,450.71,482.417,513.389,534.565,529.276,532.276,536.749,426.204,474.614,567.27,552.391,564.093,610.735,600.421,555.247,580.57,610.96,621.799,649.999,612.106,682.268,720.445,707.723,801.622,804.975,794.235,901.636,901.672,918.155,981.216,1004.123,1126.563,1195.854,1065.373,1148.307,1180.043,1232.863,1254.878,1338.798,1343.818,1384.226,1430.934,1423.295,1518.866,1415.302,1391.462,1333.814,1441.641,1532.872,1557.705,1663.972,1668.111,1688.252,1726.01,1575.475,1695.979,1764.035,1819.504,1688.885,1817.15,1890.511,1927.652,2027.857,1959.655,2005.863,2096.707,1932.272,1909.456,1939.886,1969.471,1914.004,2044.765,2015.924
Lillestrom,15.377,23.533,22.341,26.653,50.135,77.065,109.008,107.99,66.569,0,25.485,79.136,170.378,189.104,240.552,107.62,166.391,186.763,92.233,132.169,230.249,242.511,267.673,284.886,330.809,328.527,380.592,412.982,446.08,443.623,437.749,336.678,310.301,301.631,275.019,492.714,473.631,507.766,531.756,418.118,518.158,513.132,514.696,459.942,373.119,424.188,454.097,466.606,490.905,490.615,407.064,329.206,370.244,415.091,426.689,466.141,454.207,510.29,443.85,427.478,411.033,439.801,399.202,484.878,501.015,494.896,485.979,518.254,334.027,334.115,438.542,456.964,509.576,75.779,128.08,107.925,119.642,165.773,193.116,210.34,245.609,228.478,331.542,135.087,342.475,285.661,316.153,188.287,190.062,427.748,508.139,540.698,527.642,421.787,478.824,497.753,450.853,546.555,457.212,463.723,534.488,576.872,565.806,593.314,382.265,392.643,393.449,425.156,456.128,477.304,472.015,475.015,479.488,364.466,412.876,505.532,495.285,506.832,553.474,543.16,497.986,523.309,553.699,564.538,592.738,554.845,625.007,663.184,650.462,744.516,747.869,736.974,844.53,844.566,861.049,924.11,947.017,1069.302,1138.593,1008.267,1091.201,1122.937,1175.757,1197.772,1281.692,1286.712,1327.12,1373.828,1366.189,1461.76,1358.196,1334.356,1276.708,1384.535,1475.766,1500.599,1606.866,1611.005,1631.146,1668.904,1518.369,1638.873,1706.929,1757.766,1627.147,1755.412,1828.773,1865.914,1966.119,1897.917,1944.125,2034.969,1870.534,1847.718,1878.148,1907.733,1852.266,1983.027,1954.186
