,OsloO,OsloS,OsloN,OsloV,Aas,Moss,Fredrikstad,Sarpsborg,Drammen,Lillestrom,Jessheim,Honefoss,Nesbyen,Gol,Geilo,Kongsberg,Porsgrunn,Seljord,Horten,Sandefjord,Rauland,Risor,Arendal,Grimstad,KristiansandS,KristiansandN,Mandal,Lyngdal,Vestbygd,Flekkefjord,Tonstad,Evje,Rysstad,Hovden,Aamli,Egersund,Heskestad,Byrkjedal,Bryne,Erfjord,StavangerS,StavangerO,StavangerV,Aardal,Sauda,Vikedal,Aksdal,Haugesund,Ferkingstad,Bomlo,Skaanevik,Roldal,Odda,Rosendal,Mundheim,Osoyro,Fusa,Austevoll,Eikelandsosen,Norheimsund,Kinsarvik,Eidfjord,Vossevangen,BergenS,Loddefjord,BergenN,Nyborg,Aagotnes,Flaam,Sogndal,Forde,Nordfjordeid,Maaloy,Kongsvinger,Flisa,Hamar,Gjovik,Lillehammer,Trysil,Koppang,Vinstra,Beitostolen,Lom,Dokka,Hodalen,Alvdal,Dombaas,Vestre Gausdal,Fagernes,Geiranger,Volda,Ulsteinvik,Aalesund,Aandalsnes,Molde,Tingvoll,Sunndalsora,Kristiansund,Rindal,Orkanger,Hestvika,Kvenvaer,Sistranda,Titran,Oppdal,Berkaak,Rennebu,Storen,Melhus,TrondheimV,TrondheimS,TrondheimN,TrondheimO,Roros,Haltdalen,Selbu,Hommelvik,Stjordal,Meraaker,Frosta,Vanvikan,Brekstad,Levanger,Mosvik,Steinkjer,Aafjord,Steinsdalen,Flatanger,Namsos,Namsskogan,Foldereid,Rorvik,Bronnoysund,Hattfjelldal,Mosjoen,Sandnessjoen,Mo i Rana,Jektvik,Glomfjord,Krokstranda,Storjord,Fauske,Bodo,Morsvikbotn,Leinesfjorden,Hamsund,Ballangen,Narvik,Sortland,Andenes,Nordland,Leknes,Sorvaagen,Harstad,Bardufoss,Gryllefjord,Elverhoy,Tromso,Skulsfjord,Hansnes,Finnsnes,Olderdalen,Skjervoy,Alta,Kautokeino,Karasjok,Lakselv,Olderfjord,Honningsvaag,Hammerfest,Veidnes,Mehamn,Borselv,Tana bru,Tana,Vadso,Kirkenes,Vardo,Baatsfjord
OsloO,0,0.343611111,0.368611111,0.385277778,0.746111111,0.993055556,1.533055556,1.368055556,1.091944444,0.428333333,0.628888889,1.309444444,2.657777778,2.969444444,3.824166667,1.711111111,2.407777778,3.123333333,1.712222222,2.015555556,3.989722222,3.700833333,3.928333333,4.163333333,4.7475,4.684444444,5.975,6.399722222,7.023888889,6.903888889,7.001111111,5.227777778,5.273888889,4.931388889,4.246944444,7.974444444,7.530277778,8.198888889,8.595833333,6.942222222,8.789166667,8.846388889,8.792777778,8.657222222,6.635833333,7.162777778,7.504722222,7.7875,8.198611111,8.078888889,6.667222222,5.372777778,6.113611111,7.014444444,8.205555556,8.171388889,8.306666667,10.00611111,8.063333333,7.797777778,6.9125,7.193611111,6.470833333,8.013055556,8.18,8.051388889,7.845833333,8.489166667,5.399722222,6.479166667,8.140555556,7.787222222,8.696111111,1.467777778,2.338611111,1.6225,2.041666667,2.659444444,2.893055556,3.170833333,3.786111111,3.9125,5.0675,2.400277778,5.156666667,4.2525,4.782777778,3.019166667,3.21,6.961111111,8.006944444,8.573888889,8.171111111,6.471944444,8.472222222,7.778611111,7.008611111,8.625,7.105277777,7.241666667,8.409166666,8.965277777,8.8525,9.626388888,5.900555556,5.871111111,5.884444444,6.398333333,6.923611111,7.4025,7.116111111,7.227777778,7.255,5.504722222,6.269722222,7.690555556,7.530555555,7.792777778,8.558333333,8.451388889,8.786944444,9.337777778,8.523611111,9.328055555,9.181388889,9.655277778,10.43555556,11.25694444,10.50027778,11.48722222,11.55138889,12.55083333,13.96777778,13.09722222,13.33916667,14.36805556,14.72111111,19.19944444,19.66083333,15.62166667,17.08472222,17.31944444,18.24555555,18.41222222,19.83972222,19.84166667,21.60916666,22.24805556,22.42805556,23.96333333,22.50166666,22.88694444,21.87777778,22.74861112,23.58694444,26.01333333,25.14083333,25.13194444,25.82055556,27.03222222,24.3425,24.175,25.84305556,24.7575,22.84805556,24.69666667,25.74361111,26.40444444,28.06444444,27.0475,28.69472222,30.68361111,26.3525,26.16666667,26.66527778,27.22166667,26.56916667,28.40888889,29.72194444
OsloS,0.344444444,0,0.315277778,0.275555556,0.495,0.741944444,1.283888889,1.121388889,0.982222222,0.468055556,0.668333333,1.201111111,2.548611111,2.860277778,3.715,1.601666667,2.298333333,3.013888889,1.602777778,1.906111111,3.880277778,3.591388889,3.818888889,4.053888889,4.638055556,4.575,5.865555556,6.290277778,6.914444444,6.794444444,6.891666667,5.118333333,5.218055556,4.821944444,4.1375,7.865,7.420833333,8.089444444,8.486388889,6.832777778,8.679722222,8.736944444,8.683333333,8.547777778,6.5275,7.053333333,7.395277778,7.678055556,8.089166667,7.969444444,6.557777778,5.263333333,6.004166667,6.905,8.096111111,8.062222222,8.1975,9.896944444,7.954166667,7.688611111,6.803055556,7.084444444,6.361666667,7.9,8.070833333,7.942222222,7.736666667,8.38,5.290555556,6.37,8.031388889,7.824444444,8.733333333,1.5075,2.378333333,1.659722222,2.135,2.696666667,2.930277778,3.208055556,3.823333333,3.803333333,5.104722222,2.493611111,5.193888889,4.289722222,4.82,3.056388889,3.100833333,6.998333333,8.044166667,8.611111111,8.208333333,6.509166667,8.509444444,7.815833333,7.045833333,8.662222222,7.145,7.278888889,8.448888889,9.005,8.892222222,9.666111111,5.940277778,5.910833333,5.924166667,6.438055556,6.963333333,7.442222222,7.155833333,7.2675,7.294722222,5.544444444,6.309444444,7.730277778,7.570277777,7.8325,8.598055555,8.491111111,8.826666667,9.3775,8.563333333,9.367777777,9.221111111,9.695,10.47527778,11.29666667,10.54,11.52694444,11.59111111,12.59055555,14.0075,13.13694444,13.37888889,14.40777778,14.76083333,19.23916666,19.70055555,15.66138889,17.12444444,17.35916666,18.28527777,18.45194444,19.87944444,19.88138889,21.64888888,22.28833333,22.46777778,24.00305556,22.54138888,22.92666666,21.9175,22.78833334,23.62722222,26.05305556,25.18055556,25.17166667,25.86027778,27.07194444,24.38277778,24.21472222,25.88277778,24.79722222,22.88777778,24.73638889,25.78333333,26.44416667,28.10416667,27.08722222,28.73444444,30.72333333,26.39222222,26.20666667,26.70527778,27.26166667,26.60916667,28.44888889,29.76194444
OsloN,0.375277778,0.3125,0,0.336666667,0.715,0.961944444,1.502222222,1.337222222,0.978055556,0.495277778,0.695833333,1.196944444,2.544444444,2.856111111,3.710833333,1.597222222,2.293888889,3.009444444,1.598333333,1.901666667,3.875833333,3.586944444,3.814444444,4.049444444,4.633611111,4.570555556,5.861111111,6.285833333,6.91,6.79,6.887222222,5.113888889,5.16,4.8175,4.133055556,7.860555556,7.416388889,8.085,8.481944444,6.828333333,8.675277778,8.7325,8.678888889,8.543333333,6.469444444,7.048888889,7.390833333,7.673611111,8.084722222,7.965,6.553333333,5.258888889,5.999722222,6.900555556,8.091666667,8.058055555,8.193333333,9.892777777,7.95,7.684444444,6.798611111,7.080277778,6.3575,7.899722222,8.066666667,7.938055556,7.7325,8.375833333,5.286388889,6.365833333,8.027222222,7.852222222,8.761111111,1.5325,2.403333333,1.6875,2.084166667,2.724444444,2.958055556,3.235833333,3.851111111,3.799166667,5.1325,2.442777778,5.221666667,4.3175,4.847777778,3.084166667,3.096666667,7.026111111,8.071944444,8.638888889,8.236111111,6.536944444,8.537222222,7.843611111,7.073611111,8.69,7.170277777,7.306666667,8.474166666,9.030277777,8.9175,9.691388888,5.965555556,5.936111111,5.949444444,6.463333333,6.988611111,7.467777778,7.181388889,7.293055556,7.320277778,5.569722222,6.334722222,7.755555556,7.595833333,7.858055556,8.623611111,8.516388889,8.852222222,9.402777778,8.588888889,9.393333333,9.246666667,9.720555556,10.50083333,11.32222222,10.56555556,11.5525,11.61666667,12.61611111,14.03305556,13.1625,13.40444444,14.43333333,14.78638889,19.26444444,19.72611111,15.68694444,17.15,17.38472222,18.31083333,18.4775,19.905,19.90694444,21.67444444,22.31361111,22.49333333,24.02861111,22.56694444,22.95222222,21.94305555,22.81388889,23.6525,26.07861111,25.20583333,25.19694444,25.88555556,27.09722222,24.40805556,24.24,25.90805556,24.82277778,22.91333333,24.76194444,25.80888889,26.46972222,28.12972222,27.11277778,28.76,30.74888889,26.41777778,26.23194444,26.73055556,27.28694444,26.63444444,28.47416667,29.78722222
OsloV,0.39,0.267777778,0.349444444,0,0.670277778,0.917222222,1.458333333,1.2925,0.761111111,0.513611111,0.713888889,0.98,2.348611111,2.660277778,3.515,1.379444444,2.077222222,2.791944444,1.381666667,1.685,3.658333333,3.370277778,3.597777778,3.832777778,4.416944444,4.353888889,5.644444444,6.069166667,6.693333333,6.573333333,6.670555556,4.897222222,4.9425,4.6,3.916388889,7.643888889,7.199722222,7.868333333,8.265277778,6.610833333,8.458611111,8.515833333,8.462222222,8.325833333,6.251944444,6.831388889,7.173333333,7.456111111,7.867222222,7.7475,6.335833333,5.041388889,5.782222222,6.683055556,7.874166667,7.862222222,7.9975,9.696944444,7.754166667,7.488611111,6.581111111,6.884444444,6.161666667,7.7,7.870833333,7.742222222,7.536666667,8.18,5.090555556,6.17,7.831388889,7.868055556,8.776944444,1.550555556,2.421388889,1.703333333,2.201111111,2.740277778,2.973888889,3.251666667,3.866944444,3.583333333,5.148333333,2.559722222,5.2375,4.333333333,4.863611111,3.1,2.880833333,7.041944444,8.087777778,8.654722222,8.251944444,6.552777778,8.553055556,7.859444444,7.089444444,8.705833333,7.189166666,7.3225,8.493055555,9.049166666,8.936388889,9.710277777,5.984444444,5.955,5.968333333,6.482222222,7.0075,7.486666667,7.200277778,7.311944444,7.339166667,5.588611111,6.353611111,7.774444444,7.614722222,7.876944444,8.6425,8.535277778,8.871111111,9.421666667,8.607777778,9.412222222,9.265555556,9.739444444,10.51972222,11.34111111,10.58444444,11.57138889,11.63555556,12.635,14.05194444,13.18138889,13.42333333,14.45222222,14.80527778,19.28333333,19.745,15.70583333,17.16888889,17.40361111,18.32972222,18.49638889,19.92388889,19.92583333,21.69333333,22.3325,22.51222222,24.0475,22.58583333,22.97111111,21.96194444,22.83277778,23.67138889,26.0975,25.22472222,25.21583333,25.90444444,27.11611111,24.42694444,24.25888889,25.92694444,24.84166667,22.93222222,24.78083333,25.82777778,26.48861111,28.14861111,27.13166667,28.77888889,30.76777778,26.43666667,26.25083333,26.74944444,27.30583333,26.65333333,28.49305556,29.80611111
Aas,0.751944444,0.524722222,0.723888889,0.683055556,0,0.4725,1.021111111,0.848055556,1.0725,0.875555556,1.076111111,1.603888889,2.952222222,3.263888889,4.118611111,1.724444444,2.421111111,3.136666667,1.725555556,2.028888889,4.003055556,3.714166667,3.941666667,4.176666667,4.760833333,4.697777778,5.988333333,6.413055556,7.037222222,6.917222222,7.014444444,5.241111111,5.287222222,4.944722222,4.260277778,7.987777778,7.543611111,8.212222222,8.609166667,6.955555556,8.8025,8.859722222,8.806111111,8.670555556,6.596666667,7.176111111,7.518055556,7.800833333,8.211944444,8.092222222,6.680555556,5.386111111,6.126944444,7.027777778,8.218888889,8.465833333,8.601111111,10.22444444,8.357777778,8.092222222,6.925833333,7.4375,6.765277778,8.3075,8.474444444,8.345833333,8.140277778,8.7875,5.694166667,6.773055556,8.434444444,8.228333333,9.137222222,1.908611111,2.779444444,2.063611111,2.543055556,3.100555556,3.334166667,3.611944444,4.227222222,4.206944444,5.508611111,2.901666667,5.597777778,4.693611111,5.223888889,3.460277778,3.504444444,7.402222222,8.448055556,9.015,8.612222222,6.913055556,8.913333333,8.219722222,7.449722222,9.066111111,7.546388889,7.682777778,8.850277778,9.406388889,9.293611111,10.0675,6.341666667,6.312222222,6.325555556,6.839444444,7.364722222,7.843888889,7.5575,7.669166667,7.696388889,5.945833333,6.710833333,8.131666667,7.971944444,8.234166667,8.999722222,8.8925,9.228333333,9.778888889,8.965,9.769444444,9.622777778,10.09666667,10.87694444,11.69833333,10.94166667,11.92861111,11.99277778,12.99222222,14.40916667,13.53861111,13.78055556,14.80944444,15.1625,19.64055555,20.10222222,16.06305556,17.52611111,17.76083333,18.68694444,18.85361111,20.28111111,20.28305555,22.05055555,22.68888889,22.86944444,24.40472222,22.94305555,23.32833333,22.31916666,23.19,24.02777778,26.45472222,25.58111111,25.57222222,26.26083333,27.4725,24.78333333,24.61527778,26.265,24.44611111,22.53666667,24.38527778,25.43222222,26.09333333,27.75333333,26.73611111,28.38333333,30.37222222,26.04111111,26.60805556,27.10666667,26.90972222,27.01111111,28.09694444,29.52305556
Moss,1.013611111,0.786388889,0.985833333,0.944722222,0.470833333,0,0.714444444,0.545555556,1.331111111,1.136666667,1.336111111,1.862777778,3.211111111,3.522777778,4.3775,1.988611111,2.425833333,3.404722222,1.4925,2.033611111,4.271111111,3.718888889,3.946388889,4.181388889,4.765555556,4.7025,5.993055556,6.417777778,7.041944444,6.921944444,7.019166667,5.245833333,5.555277778,5.2125,4.265,7.9925,7.548333333,8.216944444,8.613888889,7.223611111,8.807222222,8.864444444,8.810833333,8.938611111,6.864722222,7.444166667,7.786111111,8.068888889,8.48,8.360277778,6.948611111,5.654166667,6.395,7.295833333,8.486944444,8.724722222,8.859722222,10.4925,8.616388889,8.350833333,7.193888889,7.705555556,7.023888889,8.566388889,8.737222222,8.608611111,8.403055555,9.046388889,5.952777778,7.031944444,8.693333333,8.49,9.398888889,2.17,3.040833333,2.325277778,2.801944444,3.362222222,3.595833333,3.873611111,4.488888889,4.465833333,5.770277778,3.160833333,5.859444444,4.955277778,5.485555556,3.721944444,3.763333333,7.663888889,8.709722222,9.276666667,8.873888889,7.174722222,9.175,8.480555556,7.711388889,9.326944444,7.807777777,7.944444444,9.111666666,9.667777777,9.555,10.32888889,6.603055556,6.573611111,6.586944444,7.100833333,7.626111111,8.105277778,7.818888889,7.930555556,7.957777778,6.207222222,6.972222222,8.393055556,8.233333333,8.495555556,9.261111111,9.153888889,9.489722222,10.04027778,9.226388889,10.03083333,9.884166667,10.35805556,11.13833333,11.95972222,11.20305555,12.19,12.25416667,13.25361111,14.67055556,13.8,14.04194444,15.07083333,15.42388889,19.90194444,20.36361111,16.32444444,17.7875,18.02222222,18.94833333,19.115,20.5425,20.54444444,22.31194444,22.93194444,23.13083333,24.66611111,23.20444444,23.58972222,22.58055555,23.45138889,24.27111111,26.71611111,25.82444444,25.81555556,26.50416667,27.71583333,25.02638889,24.85833333,26.50805556,24.68666667,22.77722222,24.62583333,25.67277778,26.33361111,27.99361111,26.97666667,28.62388889,30.61277778,26.28166667,26.73222222,27.23083333,27.15083333,27.27222222,28.33805556,29.76416667
Fredrikstad,1.541111111,1.324722222,1.523055556,1.483055556,1.009166667,0.725555556,0,0.416944444,1.866388889,1.675833333,1.874444444,2.401111111,3.749444444,4.061111111,4.915833333,2.523611111,3.093055556,3.939722222,2.159722222,2.700833333,4.806111111,4.386111111,4.613611111,4.848611111,5.432777778,5.369722222,6.660277778,7.085,7.709166667,7.589166667,7.686666667,5.913055556,6.090277778,5.747777778,4.932222222,8.66,8.215555556,8.884444444,9.281388889,7.758611111,9.474722222,9.531944444,9.478333333,9.473333333,7.399722222,7.979166667,8.321111111,8.603888889,9.015,8.895277778,7.483611111,6.189166667,6.929722222,7.830555556,9.021666667,9.263055555,9.398055556,11.0275,9.154722222,8.889166667,7.728611111,8.240277778,7.562222222,9.104722222,9.275555555,9.146944444,8.941388888,9.584722222,6.491111111,7.570277778,9.231666667,9.028333333,9.937222222,2.708333333,3.579166667,2.863611111,3.344444444,3.900555556,4.133888889,4.411944444,5.027222222,5.004166667,6.308611111,3.703333333,6.397777778,5.493611111,6.023888889,4.260277778,4.301666667,8.202222222,9.248055556,9.815,9.412222222,7.713055556,9.713333333,9.018055556,8.249166667,9.864444444,8.347222222,8.482777778,9.651111111,10.20722222,10.09444444,10.86833333,7.141944444,7.113055556,7.126388889,7.640277778,8.165555556,8.644722222,8.358333333,8.47,8.497222222,6.746666667,7.511666667,8.9325,8.772777777,9.035,9.800555555,9.693333334,10.02888889,10.57972222,9.765833333,10.57027778,10.42361111,10.89722222,11.67777778,12.49916667,11.7425,12.72944444,12.79361111,13.79305555,15.21,14.33944444,14.58138889,15.61027778,15.96333333,20.44138889,20.90305555,16.86388889,18.32694444,18.56166666,19.48777777,19.65444444,21.08194444,21.08388889,22.85138888,23.26222222,23.67027778,25.20555556,23.74388888,24.12916666,23.12,23.99083334,24.60138889,27.09,26.15527778,26.14638889,26.835,28.04666667,25.35666667,25.18888889,26.83861111,25.01722222,23.10777778,24.95638889,26.00333333,26.66416667,28.32416667,27.30722222,28.95444444,30.94333333,26.61222222,26.57583333,27.07444444,27.48166667,27.81194444,28.66861111,30.09527778
Sarpsborg,1.353888889,1.1375,1.335833333,1.295833333,0.821944444,0.5375,0.422222222,0,1.679444444,1.488611111,1.687222222,2.213888889,3.562222222,3.873888889,4.728611111,2.336666667,2.906388889,3.752777778,1.973055556,2.514166667,4.619166667,4.199444444,4.426944444,4.661944444,5.246111111,5.183055556,6.473611111,6.898333333,7.5225,7.4025,7.5,5.726388889,5.903333333,5.560833333,4.745555556,8.473333333,8.028888889,8.697777778,9.094722222,7.571666667,9.288055556,9.345277778,9.291666667,9.286388889,7.212777778,7.792222222,8.134166667,8.416944444,8.828055556,8.708333333,7.296666667,6.002222222,6.742777778,7.643611111,8.834722222,9.075833333,9.210833333,10.84055556,8.9675,8.701944444,7.541666667,8.053333333,7.375,8.9175,9.088333333,8.959722222,8.754166666,9.3975,6.303888889,7.383055556,9.044444444,8.841111111,9.75,2.521111111,3.391944444,2.676388889,3.156944444,3.713333333,3.946666667,4.224722222,4.84,4.816944444,6.121388889,3.515833333,6.210555556,5.306388889,5.836666667,4.073055556,4.114444444,8.015,9.060833333,9.627777778,9.225,7.525833333,9.526111111,8.830833333,8.061944444,9.677222222,8.159166666,8.295555556,9.463055555,10.01916667,9.906388889,10.68027778,6.953888889,6.925,6.938333333,7.452222222,7.9775,8.456666667,8.170277778,8.281944444,8.309166667,6.558611111,7.323611111,8.744444444,8.584722222,8.846944444,9.6125,9.505277778,9.840833333,10.39166667,9.577777778,10.38222222,10.23555556,10.70916667,11.48972222,12.31111111,11.55444444,12.54138889,12.60555555,13.605,15.02194444,14.15138889,14.39333333,15.42222222,15.77527778,20.25333333,20.715,16.67583333,18.13888889,18.37361111,19.29972222,19.46638889,20.89388889,20.89583333,22.66333333,22.87388889,23.48222222,25.0175,23.55583333,23.94111111,22.93194444,23.80277778,24.21305556,26.70166667,25.76638889,25.7575,26.44611111,27.65777778,24.96833333,24.80027778,26.42638889,24.62861111,22.72055556,24.56777778,25.61472222,26.27583333,27.93583333,26.91861111,28.56583333,30.55472222,26.22361111,26.18666667,26.68527778,27.09277778,27.74666667,28.28,29.70611111
Drammen,1.070555556,0.948333333,0.981666667,0.749166667,1.078611111,1.318611111,1.857222222,1.692222222,0,1.194444444,1.393055556,1.278055556,2.505277778,2.816944444,3.462222222,0.805555556,1.578333333,2.2175,0.894722222,1.186388889,3.083888889,2.872777778,3.100277778,3.335277778,3.919722222,3.856388889,5.146944444,5.571944444,6.196111111,6.076111111,6.173333333,4.4,4.368055556,4.025555556,3.419166667,7.146666667,6.7025,7.371111111,7.768055556,6.036111111,7.961388889,8.018611111,7.965,7.751111111,5.6775,6.256944444,6.598888889,6.881666667,7.292777778,7.173055556,5.761388889,4.466944444,5.207777778,6.108611111,7.299722222,8.018888889,7.841666667,9.305277778,7.608888889,7.393333333,6.006666667,6.518333333,6.318333333,7.860555556,8.031388889,7.902777778,7.697222222,8.340555556,5.247222222,6.326666667,7.988055556,8.546944444,9.455833333,2.226944444,3.097777778,2.382222222,2.748333333,3.419166667,3.6525,3.930555556,4.545833333,3.881111111,5.827222222,2.959166667,5.916388889,5.012222222,5.5425,3.778888889,3.178611111,7.720833333,8.766666667,9.333611111,8.930833333,7.231666667,9.231944444,8.537222222,7.768055556,9.383611111,7.866944444,8.001388889,9.170833333,9.726944444,9.614166667,10.38805556,6.661944444,6.632777778,6.646111111,7.16,7.685277778,8.164444444,7.878055556,7.989722222,8.016944444,6.266388889,7.031388889,8.452222222,8.2925,8.554722222,9.320277778,9.213055556,9.548888889,10.09944444,9.285555556,10.09,9.943333333,10.41722222,11.1975,12.01888889,11.26222222,12.24916667,12.31333333,13.31277777,14.72972222,13.85916667,14.10111111,15.13,15.48305556,19.96111111,20.42277778,16.38361111,17.84666667,18.08138889,19.0075,19.17416667,20.60166667,20.60361111,22.37111111,23.00888889,23.19,24.72527778,23.26361111,23.64888889,22.63972222,23.51055556,24.34805556,26.77527778,25.90166667,25.89277778,26.58138889,27.79305556,25.10333333,24.93527778,26.60333333,25.51944444,23.61,25.45861111,26.50555556,27.16638889,28.82638889,27.80944444,29.45666666,31.31277778,27.11444444,26.92888889,27.4275,27.98361111,27.33138889,29.17055556,30.48416667
Lillestrom,0.404722222,0.476666667,0.490833333,0.518333333,0.879166667,1.126111111,1.664722222,1.499722222,1.225277778,0,0.464722222,1.4425,2.790833333,3.1025,3.957222222,1.843888889,2.540833333,3.256111111,1.845277778,2.148611111,4.1225,3.833888889,4.061388889,4.296388889,4.880555556,4.8175,6.108055556,6.532777778,7.156944444,7.036944444,7.134166667,5.360833333,5.458611111,5.063888889,4.38,8.1075,7.663333333,8.331944444,8.728888889,7.118055556,8.922222222,8.979444444,8.925833333,8.79,6.768055556,7.295555556,7.6375,7.920277778,8.331388889,8.211666667,6.8,5.505555556,6.246388889,7.190277778,8.338333333,8.304444444,8.439722222,10.13916667,8.196388889,7.930833333,7.045277778,7.326666667,6.603888889,8.146111111,8.316944444,8.188333333,7.982777777,8.626111111,5.532777778,6.612222222,8.273611111,7.623055556,8.531944444,1.304444444,2.175277778,1.458333333,1.991111111,2.495277778,2.728888889,3.006666667,3.621944444,3.999722222,4.903333333,2.387222222,4.9925,4.088333333,4.618611111,2.855,3.297222222,6.796944444,7.842777778,8.409722222,8.006944444,6.307777778,8.308055556,7.614166667,6.844166667,8.460555556,6.941111111,7.0775,8.245,8.801111111,8.688333333,9.462222222,5.736111111,5.706944444,5.720277778,6.234166667,6.759444444,7.238333333,6.951944444,7.063611111,7.090833333,5.340555556,6.105555556,7.526388889,7.366388888,7.628611111,8.394166666,8.287222222,8.622777778,9.173611111,8.359444444,9.163888888,9.017222222,9.491111111,10.27138889,11.09277778,10.33611111,11.32305556,11.38722222,12.38666666,13.80361111,12.93305556,13.175,14.20388889,14.55694444,19.03527777,19.49666666,15.4575,16.92055556,17.15527777,18.08138888,18.24805555,19.67555555,19.6775,21.445,22.08277778,22.26388889,23.79916667,22.3375,22.72277777,21.71361111,22.58444445,23.42166667,25.84916667,24.97666667,24.96777778,25.65638889,26.86805556,24.17722222,24.01083333,25.67888889,24.59305556,22.68361111,24.53222222,25.57916667,26.24027778,27.90027778,26.88305556,28.53027778,30.51916667,26.18805556,26.00222222,26.50083333,27.05722222,26.40472222,28.24444444,29.5575
